date,open,high,low,close,volume,vwap
2019-06-05,29.93,29.99,29.030001,29.5,79481500.0,29.50667
2019-06-06,29.870001,31.98,29.84,31.82,131267800.0,31.21333
2019-06-07,31.940001,32.599998,31.57,32.41,86841100.0,32.19333
2019-06-10,33.529999,34.299999,33.080002,33.23,97668800.0,33.53667
2019-06-11,33.43,33.490002,31.82,32.41,82834900.0,32.57333
2019-06-12,32.0,32.57,31.92,32.18,56194100.0,32.22333
2019-06-13,32.389999,32.5,31.059999,31.389999,63556000.0,31.65
2019-06-14,30.700001,30.959999,30.02,30.360001,70373000.0,30.44667
2019-06-17,30.25,30.450001,29.18,29.200001,70865700.0,29.61
2019-06-18,29.76,30.969999,29.58,30.450001,86444500.0,30.33333
2019-06-19,30.67,30.790001,30.059999,30.5,63233900.0,30.45
2019-06-20,31.24,31.360001,29.84,30.01,72418200.0,30.40333
2019-06-21,29.65,30.35,28.969999,29.1,81861300.0,29.47333
2019-06-24,29.32,29.4,28.67,29.26,55724800.0,29.11
2019-06-25,29.26,29.719999,28.799999,28.860001,53680900.0,29.12667
2019-06-26,29.98,30.48,29.780001,29.92,65064200.0,30.06
2019-06-27,30.41,30.959999,30.209999,30.74,55623300.0,30.63667
2019-06-28,31.08,31.110001,30.33,30.370001,50090900.0,30.60333
2019-07-01,31.790001,32.040001,30.870001,31.200001,60525500.0,31.37
2019-07-02,30.959999,31.26,30.73,31.24,37721700.0,31.07667
2019-07-03,31.129999,31.33,30.74,31.190001,23462000.0,31.08667
2019-07-05,30.879999,31.559999,30.75,31.5,34011900.0,31.27
2019-07-08,31.799999,32.150002,31.26,32.040001,49689400.0,31.81667
2019-07-09,31.76,33.18,30.1,33.150002,61419800.0,32.14333
2019-07-10,33.560001,34.029999,33.360001,33.790001,60388400.0,33.72667
2019-07-11,33.91,34.0,32.759998,33.060001,63081800.0,33.27333
2019-07-12,32.759998,33.389999,32.59,33.209999,51509700.0,33.06333
2019-07-15,33.34,34.549999,33.27,34.389999,65565200.0,34.07
2019-07-16,34.299999,34.860001,33.799999,33.849998,66912700.0,34.17
2019-07-17,34.009998,34.299999,33.490002,33.599998,42557900.0,33.79667
2019-07-18,33.029999,33.459999,32.419998,33.0,58610900.0,32.96
2019-07-19,33.080002,33.349998,32.450001,32.509998,44617700.0,32.77
2019-07-22,32.799999,33.310001,32.740002,32.849998,37777300.0,32.96667
2019-07-23,33.169998,33.5,32.93,33.490002,38532500.0,33.30667
2019-07-24,33.639999,34.360001,33.450001,34.110001,41952300.0,33.97333
2019-07-25,34.049999,34.25,33.619999,33.669998,36705600.0,33.84667
2019-07-26,34.23,34.77,33.869999,34.02,43502800.0,34.22
2019-07-29,34.139999,34.18,32.98,33.48,45922000.0,33.54667
2019-07-30,33.209999,33.939999,32.939999,33.869999,72198900.0,33.58333
2019-07-31,32.080002,32.299999,30.299999,30.450001,119190000.0,31.01667
2019-08-01,30.5,31.48,29.1,29.860001,80878900.0,30.14667
2019-08-02,29.48,29.73,28.940001,29.440001,60410900.0,29.37
2019-08-05,28.26,28.49,27.65,27.99,74333200.0,28.04333
2019-08-06,28.860001,29.049999,28.200001,28.860001,60578400.0,28.70333
2019-08-07,28.469999,29.280001,28.370001,29.190001,58577500.0,28.94667
2019-08-08,31.530001,34.27,31.48,33.919998,167278800.0,33.22333
2019-08-09,33.450001,35.549999,33.080002,34.189999,132483900.0,34.27333
2019-08-12,34.16,34.650002,32.080002,32.43,106737000.0,33.05333
2019-08-13,32.360001,33.139999,31.719999,32.110001,102009700.0,32.32333
2019-08-14,31.0,31.049999,29.51,30.24,127521500.0,30.26667
2019-08-15,30.629999,30.73,29.209999,29.67,71674400.0,29.87
2019-08-16,30.309999,31.48,30.209999,31.18,70469800.0,30.95667
2019-08-19,32.0,32.189999,31.42,31.48,67596900.0,31.69667
2019-08-20,30.940001,31.309999,30.450001,30.719999,47924000.0,30.82667
2019-08-21,31.049999,31.74,30.84,31.700001,41441500.0,31.42667
2019-08-22,31.76,31.92,30.98,31.9,47667900.0,31.6
2019-08-23,31.299999,31.83,29.4,29.540001,83681100.0,30.25667
2019-08-26,30.34,30.719999,29.940001,30.280001,50612500.0,30.31333
2019-08-27,30.6,30.889999,29.6,30.200001,53229200.0,30.23
2019-08-28,29.92,31.18,29.700001,30.780001,55835900.0,30.55333
2019-08-29,31.469999,31.83,31.33,31.450001,44422800.0,31.53667
2019-08-30,31.6,31.870001,31.129999,31.450001,40307000.0,31.48333
2019-09-03,30.83,31.139999,30.68,30.9,38029300.0,30.90667
2019-09-04,31.32,31.83,30.85,30.950001,46614600.0,31.21
2019-09-05,31.790001,32.049999,31.120001,31.5,57861200.0,31.55667
2019-09-06,31.5,31.51,30.48,30.559999,51673000.0,30.85
2019-09-09,30.93,31.18,30.24,30.5,54413200.0,30.64
2019-09-10,30.219999,30.379999,29.77,30.23,48604800.0,30.12667
2019-09-11,30.379999,30.43,29.51,29.76,50631700.0,29.9
2019-09-12,30.08,30.84,29.950001,30.209999,53618300.0,30.33333
2019-09-13,30.27,30.85,29.950001,30.690001,47758800.0,30.49667
2019-09-16,30.370001,31.15,30.26,30.83,52248500.0,30.74667
2019-09-17,31.07,31.32,30.74,30.99,35011700.0,31.01667
2019-09-18,30.75,30.889999,29.879999,30.42,47027500.0,30.39667
2019-09-19,30.57,30.959999,30.139999,30.290001,41603000.0,30.46333
2019-09-20,30.360001,30.469999,29.65,30.049999,79957400.0,30.05667
2019-09-23,30.120001,30.799999,30.07,30.639999,44366800.0,30.50333
2019-09-24,30.540001,30.75,29.290001,29.52,72963000.0,29.85333
2019-09-25,29.48,29.65,28.549999,29.540001,58234800.0,29.24667
2019-09-26,29.67,29.77,29.0,29.469999,40745400.0,29.41333
2019-09-27,29.17,29.77,28.35,28.719999,54091100.0,28.94667
2019-09-30,28.889999,29.049999,28.360001,28.99,37295600.0,28.8
2019-10-01,29.049999,29.540001,28.639999,28.76,37081800.0,28.98
